gene_id	gene_name	description	biotype	logFC	logCPM	LR	PValue	FDR
ENSG00000128965	CHAC1	ChaC, cation transport regulator homolog 1 (E. coli) [Source:HGNC Symbol;Acc:HGNC:28680]	protein_coding	 5.149e+00	 4.760138	4.055e+03	 0.000e+00	 0.000e+00
ENSG00000128165	ADM2	adrenomedullin 2 [Source:HGNC Symbol;Acc:HGNC:28898]	protein_coding	 4.682e+00	 5.168424	2.521e+03	 0.000e+00	 0.000e+00
ENSG00000152580	IGSF10	immunoglobulin superfamily, member 10 [Source:HGNC Symbol;Acc:HGNC:26384]	protein_coding	-3.929e+00	 6.249255	5.850e+03	 0.000e+00	 0.000e+00
ENSG00000103257	SLC7A5	solute carrier family 7 (amino acid transporter light chain, L system), member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	protein_coding	 3.794e+00	 7.537992	5.336e+03	 0.000e+00	 0.000e+00
ENSG00000070669	ASNS	asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]	protein_coding	 3.687e+00	 6.523006	3.870e+03	 0.000e+00	 0.000e+00
ENSG00000138449	SLC40A1	solute carrier family 40 (iron-regulated transporter), member 1 [Source:HGNC Symbol;Acc:HGNC:10909]	protein_coding	-3.593e+00	 5.341724	3.407e+03	 0.000e+00	 0.000e+00
ENSG00000168477	TNXB	tenascin XB [Source:HGNC Symbol;Acc:HGNC:11976]	protein_coding	-3.518e+00	 8.163328	2.916e+03	 0.000e+00	 0.000e+00
ENSG00000196517	SLC6A9	solute carrier family 6 (neurotransmitter transporter, glycine), member 9 [Source:HGNC Symbol;Acc:HGNC:11056]	protein_coding	 3.455e+00	 4.623481	2.137e+03	 0.000e+00	 0.000e+00
ENSG00000013297	CLDN11	claudin 11 [Source:HGNC Symbol;Acc:HGNC:8514]	protein_coding	-3.454e+00	 8.561463	5.218e+03	 0.000e+00	 0.000e+00
ENSG00000101255	TRIB3	tribbles pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:16228]	protein_coding	 3.413e+00	 7.014632	2.691e+03	 0.000e+00	 0.000e+00
