gene_id	gene_name	description	biotype	logFC	logCPM	LR	PValue	FDR
ENSG00000154856	APCDD1	adenomatosis polyposis coli down-regulated 1 [Source:HGNC Symbol;Acc:HGNC:15718]	protein_coding	-8.4349516	 4.904425	1.621e+03	 0.000e+00	 0.000e+00
ENSG00000148677	ANKRD1	ankyrin repeat domain 1 (cardiac muscle) [Source:HGNC Symbol;Acc:HGNC:15819]	protein_coding	-8.0856956	 3.772373	1.732e+03	 0.000e+00	 0.000e+00
ENSG00000152583	SPARCL1	SPARC-like 1 (hevin) [Source:HGNC Symbol;Acc:HGNC:11220]	protein_coding	-7.3926558	 3.998502	1.976e+03	 0.000e+00	 0.000e+00
ENSG00000103888	CEMIP	cell migration inducing protein, hyaluronan binding [Source:HGNC Symbol;Acc:HGNC:29213]	protein_coding	-7.1914309	 6.274645	1.937e+03	 0.000e+00	 0.000e+00
ENSG00000183160	TMEM119	transmembrane protein 119 [Source:HGNC Symbol;Acc:HGNC:27884]	protein_coding	-7.1638933	 4.628834	2.128e+03	 0.000e+00	 0.000e+00
ENSG00000106819	ASPN	asporin [Source:HGNC Symbol;Acc:HGNC:14872]	protein_coding	-6.9945721	 5.791568	2.000e+03	 0.000e+00	 0.000e+00
ENSG00000128165	ADM2	adrenomedullin 2 [Source:HGNC Symbol;Acc:HGNC:28898]	protein_coding	-5.9664593	 4.882688	2.042e+03	 0.000e+00	 0.000e+00
ENSG00000198796	ALPK2	alpha-kinase 2 [Source:HGNC Symbol;Acc:HGNC:20565]	protein_coding	-5.6075033	 5.148479	2.075e+03	 0.000e+00	 0.000e+00
ENSG00000094963	FMO2	flavin containing monooxygenase 2 (non-functional) [Source:HGNC Symbol;Acc:HGNC:3770]	protein_coding	-5.5736376	 5.068402	1.786e+03	 0.000e+00	 0.000e+00
ENSG00000158373	HIST1H2BD	histone cluster 1, H2bd [Source:HGNC Symbol;Acc:HGNC:4747]	protein_coding	 5.5195415	 4.426719	1.485e+03	 0.000e+00	 0.000e+00
ENSG00000104415	WISP1	WNT1 inducible signaling pathway protein 1 [Source:HGNC Symbol;Acc:HGNC:12769]	protein_coding	-5.3805215	 6.671745	2.334e+03	 0.000e+00	 0.000e+00
ENSG00000154258	ABCA9	ATP-binding cassette, sub-family A (ABC1), member 9 [Source:HGNC Symbol;Acc:HGNC:39]	protein_coding	-5.0739302	 5.467103	1.543e+03	 0.000e+00	 0.000e+00
ENSG00000164125	FAM198B	family with sequence similarity 198, member B [Source:HGNC Symbol;Acc:HGNC:25312]	protein_coding	-4.9409600	 6.824264	2.717e+03	 0.000e+00	 0.000e+00
ENSG00000101335	MYL9	myosin, light chain 9, regulatory [Source:HGNC Symbol;Acc:HGNC:15754]	protein_coding	-4.9270369	 7.859120	1.574e+03	 0.000e+00	 0.000e+00
ENSG00000132530	XAF1	XIAP associated factor 1 [Source:HGNC Symbol;Acc:HGNC:30932]	protein_coding	-4.6727667	 5.250804	1.882e+03	 0.000e+00	 0.000e+00
ENSG00000084636	COL16A1	collagen, type XVI, alpha 1 [Source:HGNC Symbol;Acc:HGNC:2193]	protein_coding	-4.6504162	 7.008152	1.787e+03	 0.000e+00	 0.000e+00
ENSG00000154930	ACSS1	acyl-CoA synthetase short-chain family member 1 [Source:HGNC Symbol;Acc:HGNC:16091]	protein_coding	-4.5343810	 4.623219	1.697e+03	 0.000e+00	 0.000e+00
ENSG00000025708	TYMP	thymidine phosphorylase [Source:HGNC Symbol;Acc:HGNC:3148]	protein_coding	-4.5167490	 5.220396	1.670e+03	 0.000e+00	 0.000e+00
ENSG00000149451	ADAM33	ADAM metallopeptidase domain 33 [Source:HGNC Symbol;Acc:HGNC:15478]	protein_coding	-4.4150660	 6.362754	1.561e+03	 0.000e+00	 0.000e+00
ENSG00000113739	STC2	stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]	protein_coding	-4.0415127	 7.250762	1.866e+03	 0.000e+00	 0.000e+00
