gene_id	gene_name	description	biotype	logFC	logCPM	LR	PValue	FDR
ENSG00000154856	APCDD1	adenomatosis polyposis coli down-regulated 1 [Source:HGNC Symbol;Acc:HGNC:15718]	protein_coding	-9.1420065	 4.899393	4.605e+03	 0.000e+00	 0.000e+00
ENSG00000106819	ASPN	asporin [Source:HGNC Symbol;Acc:HGNC:14872]	protein_coding	-7.5031549	 4.496732	3.615e+03	 0.000e+00	 0.000e+00
ENSG00000183160	TMEM119	transmembrane protein 119 [Source:HGNC Symbol;Acc:HGNC:27884]	protein_coding	-7.4790319	 5.182633	4.663e+03	 0.000e+00	 0.000e+00
ENSG00000084710	EFR3B	EFR3 homolog B (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:29155]	protein_coding	 6.8667539	 4.102793	3.310e+03	 0.000e+00	 0.000e+00
ENSG00000156486	KCNS2	potassium voltage-gated channel, delayed-rectifier, subfamily S, member 2 [Source:HGNC Symbol;Acc:HGNC:6301]	protein_coding	-6.8525535	 3.004271	1.876e+03	 0.000e+00	 0.000e+00
ENSG00000094963	FMO2	flavin containing monooxygenase 2 (non-functional) [Source:HGNC Symbol;Acc:HGNC:3770]	protein_coding	-6.7092556	 4.991822	4.559e+03	 0.000e+00	 0.000e+00
ENSG00000103888	CEMIP	cell migration inducing protein, hyaluronan binding [Source:HGNC Symbol;Acc:HGNC:29213]	protein_coding	-6.1162175	 5.570030	4.060e+03	 0.000e+00	 0.000e+00
ENSG00000121769	FABP3	fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor) [Source:HGNC Symbol;Acc:HGNC:3557]	protein_coding	-5.9092253	 3.252963	1.706e+03	 0.000e+00	 0.000e+00
ENSG00000154258	ABCA9	ATP-binding cassette, sub-family A (ABC1), member 9 [Source:HGNC Symbol;Acc:HGNC:39]	protein_coding	-5.7553806	 5.951489	4.945e+03	 0.000e+00	 0.000e+00
ENSG00000196616	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide [Source:HGNC Symbol;Acc:HGNC:250]	protein_coding	-5.5423804	 7.265016	6.735e+03	 0.000e+00	 0.000e+00
ENSG00000164929	BAALC	brain and acute leukemia, cytoplasmic [Source:HGNC Symbol;Acc:HGNC:14333]	protein_coding	-5.3251602	 4.287659	1.874e+03	 0.000e+00	 0.000e+00
ENSG00000152583	SPARCL1	SPARC-like 1 (hevin) [Source:HGNC Symbol;Acc:HGNC:11220]	protein_coding	-5.3090561	 3.519649	1.597e+03	 0.000e+00	 0.000e+00
ENSG00000116194	ANGPTL1	angiopoietin-like 1 [Source:HGNC Symbol;Acc:HGNC:489]	protein_coding	-5.1610004	 5.925335	5.230e+03	 0.000e+00	 0.000e+00
ENSG00000164125	FAM198B	family with sequence similarity 198, member B [Source:HGNC Symbol;Acc:HGNC:25312]	protein_coding	-4.9841457	 6.965696	5.487e+03	 0.000e+00	 0.000e+00
ENSG00000176046	NUPR1	nuclear protein, transcriptional regulator, 1 [Source:HGNC Symbol;Acc:HGNC:29990]	protein_coding	-4.9137008	 5.550871	3.495e+03	 0.000e+00	 0.000e+00
ENSG00000162496	DHRS3	dehydrogenase/reductase (SDR family) member 3 [Source:HGNC Symbol;Acc:HGNC:17693]	protein_coding	 4.8324973	 6.935177	5.341e+03	 0.000e+00	 0.000e+00
ENSG00000104415	WISP1	WNT1 inducible signaling pathway protein 1 [Source:HGNC Symbol;Acc:HGNC:12769]	protein_coding	-4.8317080	 5.907393	4.255e+03	 0.000e+00	 0.000e+00
ENSG00000198796	ALPK2	alpha-kinase 2 [Source:HGNC Symbol;Acc:HGNC:20565]	protein_coding	-4.7626692	 3.767274	2.022e+03	 0.000e+00	 0.000e+00
ENSG00000107562	CXCL12	chemokine (C-X-C motif) ligand 12 [Source:HGNC Symbol;Acc:HGNC:10672]	protein_coding	-4.7371054	 8.846820	6.045e+03	 0.000e+00	 0.000e+00
ENSG00000169418	NPR1	natriuretic peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:7943]	protein_coding	-4.7121937	 4.277946	1.825e+03	 0.000e+00	 0.000e+00
ENSG00000158373	HIST1H2BD	histone cluster 1, H2bd [Source:HGNC Symbol;Acc:HGNC:4747]	protein_coding	 4.6669500	 4.654238	3.040e+03	 0.000e+00	 0.000e+00
